index,label,phi_start,phi_end,L,L_eff,xi_start,xi_end,x_start_vtu_x,x_start_vtu_y,x_start_vtu_z,x_end_vtu_x,x_end_vtu_y,x_end_vtu_z,x_start_centerline_x,x_start_centerline_y,x_start_centerline_z,x_end_centerline_x,x_end_centerline_y,x_end_centerline_z
0,phis_start_cc[0][0],0.11988763300325578,0.13640224610911794,0.8903544612089002,0.6856759644512183,0.11320130347034231,0.8833170206648462,6.5087062735612236,0.40130319705562756,0.9775204160493933,6.3157080524669205,1.055408679379191,1.0485783703880953,6.537075581845078,0.3051545384152494,0.9670754233379336,6.2864662035591925,1.1545145342174903,1.0593446145155438
1,phis_start_cc[0][1],0.37303170479073267,0.49665263785290864,0.8849149536548393,0.46403059372802935,0.13937165121203168,0.6637503972276904,4.966208076984047,-0.012466814003522009,0.9002808117549453,5.030410471795222,0.20735636078779707,0.49669659967429103,4.949144086796441,-0.07089236820098815,1.0075471692649958,5.071579245160503,0.3483145055740883,0.2379045871672792
2,phis_start_cc[0][2],0.6968711643802283,0.7071607144437588,0.7880434151765726,0.564169730915259,0.1548122587956445,0.8707242505084978,5.277699325644427,0.8186454820133885,-1.2024613969609232,5.2905723468331685,1.3619523847075001,-1.0510038778626594,5.2749156015123795,0.7011581793854462,-1.2352133007069235,5.292896891584002,1.4600599843324822,-1.0236544487090757
3,phis_start_cc[0][3],0.8338337527358302,0.8303717095800648,0.5115970086199332,0.30292156749705146,0.20300570060140866,0.7951154322712682,6.264245025712362,0.7782256858107172,-1.2208218840922116,6.179715587910266,1.0681940728136876,-1.2439429727047298,6.293226068962679,0.6788095938140741,-1.2128947845337996,6.150466318056868,1.1685302849184165,-1.2519434394973188
4,phis_start_cc[1][0],0.11283037051743904,0.17034531327968766,1.0033916278110284,0.7675431259924956,0.11503877703839406,0.8799874817300473,6.321875673814882,1.2702175228562511,0.9384688001480234,5.810670675745756,1.7766299870587952,1.2055611368179187,6.398754551356732,1.1940593828377732,0.898301432612945,5.730467913398192,1.8560808505473974,1.247465154352377
5,phis_start_cc[1][1],0.3716547775258856,0.5145240165330704,1.0037846525967733,0.6717250397073844,0.18393839542012316,0.8531307744524619,4.743116411802858,0.6098874652075523,0.959011543755698,4.77726791483359,0.8046883351491756,0.3170607474475885,4.73372931645407,0.5563432818513119,1.1354621476647389,4.78476322553731,0.8474417402995505,0.17617029614010107
6,phis_start_cc[1][2],0.4931947378484597,0.7334045171953618,2.1415194518165888,1.7897742842602824,0.0769683602548558,0.9127180812027877,5.076610608594948,0.4752359894500523,0.1693796389950083,5.277898163928033,1.9578657301190039,-0.8127529186321956,5.058073033666268,0.33869322174809235,0.2598291247905089,5.298919725310721,2.1127048708184737,-0.915322398458868
7,phis_start_cc[1][3],0.8098182916202593,0.7696156456554843,1.0600966501375915,0.764512110508556,0.1251136503842333,0.8462857344666883,5.939936249323376,1.2984970423611844,-1.2978626364627688,5.603372955993914,1.9646879870955183,-1.1323526915910218,5.998325450934477,1.1829218796665844,-1.3265763843113751,5.5316361533895355,2.106683294505494,-1.097075064827656
8,phis_start_cc[2][0],0.178740504698246,0.2930131033199427,1.2621229547989263,0.9551747178817591,0.10527538316475887,0.8620754352119318,5.553013395110255,1.8515544151725882,1.3063638187133473,4.624021347024643,2.042931545973957,1.4190905239806988,5.682241707865618,1.8249327193632565,1.2906828643346846,4.45471530168653,2.0778094604307107,1.4396346316640096
9,phis_start_cc[2][1],0.4728306909827371,0.653667708220192,1.4116319532792774,0.9797274378635366,0.08273139362835036,0.7767702580700276,4.548540494349019,0.9682537909060563,0.3375680519188416,4.805314476088038,1.6712452889653269,-0.29467867876540793,4.517932310218208,0.8844552180550794,0.4129336486114052,4.887902919782822,1.897354544124946,-0.49803368056383246
10,phis_start_cc[2][2],0.7311515700354472,0.9502216123388489,1.133604351842781,0.8734659784704738,0.1224549464986539,0.892975963862933,5.3972170026736075,2.160071809933007,-0.8373040982593388,6.091030745205844,2.4938038636541084,-0.42476534548829314,5.28695274925656,2.107033489287196,-0.902866762691264,6.187400273589595,2.5401586684843815,-0.3674644265133141
11,phis_start_cc[2][3],0.9547411913412445,0.9996442467546867,0.7672254767778575,0.44180739411368064,0.19793304388733968,0.7737838302417683,6.35007393345959,2.137394310066529,-0.2543772136468513,6.180453791322507,2.4905446108729663,-0.0501527148342959,6.408376243421414,2.016008500331218,-0.3245738299304588,6.113820524897685,2.6292755291776078,0.030074463780228072
12,phis_start_cc[3][0],0.15634595582737737,0.03428921180740128,1.0411914470218635,0.13629514282619792,0.20101595104374467,0.33191900755275183,5.3741183767548675,2.803859362544442,0.8862686492824439,5.430789510288669,2.8619785969744473,0.7767839326719606,5.2870936570284774,2.7146109256137274,1.0543943983759865,5.720018105434324,3.1585977657988256,0.21801425928465934
